com/google/firebase/installations/FirebaseInstallations,getId,"('id',)"
com/google/firebase/messaging/RemoteMessage,getMessageId,"('id',)"
com/google/firebase/messaging/RemoteMessage,getSenderId,"('id',)"
com/google/firebase/messaging/RemoteMessage.Builder,setMessageId,"('id',)"
com/google/firebase/messaging/RemoteMessage.Notification,getChannelId,"('id',)"
com/google/firebase/messaging/RemoteMessage.Notification,getClickAction,"('Click',)"
com/google/firebase/ml/naturallanguage/languageid/FirebaseLanguageIdentification,identifyLanguage,"('id',)"
com/google/firebase/ml/naturallanguage/languageid/FirebaseLanguageIdentification,identifyPossibleLanguages,"('id',)"
com/google/firebase/ml/naturallanguage/languageid/FirebaseLanguageIdentificationOptions,getConfidenceThreshold,"('id',)"
com/google/firebase/ml/naturallanguage/languageid/FirebaseLanguageIdentificationOptions.Builder,setConfidenceThreshold,"('id',)"
com/google/firebase/ml/common/modeldownload/FirebaseModelDownloadConditions,isDeviceIdleRequired,"('Device', 'ID')"
com/google/firebase/ml/common/modeldownload/FirebaseModelDownloadConditions.Builder,requireDeviceIdle,"('Device', 'ID')"
com/google/firebase/ml/naturallanguage/FirebaseNaturalLanguage,getLanguageIdentification,"('id',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.Address,getAddressLines,"('Address',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.CalendarEvent,getDescription,"('IP',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.CalendarEvent,getLocation,"('Location',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.ContactInfo,getAddresses,"('Address',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.ContactInfo,getName,"('name',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.DriverLicense,getAddressCity,"('Address',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.DriverLicense,getAddressState,"('Address',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.DriverLicense,getAddressStreet,"('Address',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.DriverLicense,getAddressZip,"('IP',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.DriverLicense,getFirstName,"('name',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.DriverLicense,getGender,"('Gender',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.DriverLicense,getLastName,"('name',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.DriverLicense,getMiddleName,"('name',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.Email,getAddress,"('Address',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.PersonName,getFormattedName,"('name',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.PersonName,getMiddle,"('id',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.Sms,getPhoneNumber,"('Phone', 'Number')"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.WiFi,getPassword,"('Password',)"
com/google/firebase/ml/vision/barcode/FirebaseVisionBarcode.WiFi,getSsid,"('id',)"
com/google/firebase/ml/vision/cloud/FirebaseVisionCloudDetectorOptions.Builder,enforceCertFingerprintMatch,"('Fingerprint',)"
com/google/firebase/ml/vision/document/FirebaseVisionCloudDocumentRecognizerOptions.Builder,enforceCertFingerprintMatch,"('Fingerprint',)"
com/google/firebase/ml/vision/label/FirebaseVisionCloudImageLabelerOptions,getConfidenceThreshold,"('id',)"
com/google/firebase/ml/vision/label/FirebaseVisionCloudImageLabelerOptions,isEnforceCertFingerprintMatch,"('Fingerprint',)"
com/google/firebase/ml/vision/label/FirebaseVisionCloudImageLabelerOptions.Builder,enforceCertFingerprintMatch,"('Fingerprint',)"
com/google/firebase/ml/vision/label/FirebaseVisionCloudImageLabelerOptions.Builder,setConfidenceThreshold,"('id',)"
com/google/firebase/ml/vision/cloud/landmark/FirebaseVisionCloudLandmark,getConfidence,"('id',)"
com/google/firebase/ml/vision/cloud/landmark/FirebaseVisionCloudLandmark,getEntityId,"('id',)"
com/google/firebase/ml/vision/cloud/landmark/FirebaseVisionCloudLandmark,getLocations,"('Location',)"
com/google/firebase/ml/vision/text/FirebaseVisionCloudTextRecognizerOptions.Builder,enforceCertFingerprintMatch,"('Fingerprint',)"
com/google/firebase/ml/vision/document/FirebaseVisionDocumentText.Block,getConfidence,"('id',)"
com/google/firebase/ml/vision/document/FirebaseVisionDocumentText.Paragraph,getConfidence,"('id',)"
com/google/firebase/ml/vision/document/FirebaseVisionDocumentText.Symbol,getConfidence,"('id',)"
com/google/firebase/ml/vision/document/FirebaseVisionDocumentText.Word,getConfidence,"('id',)"
com/google/firebase/ml/vision/face/FirebaseVisionFace,getTrackingId,"('id',)"
com/google/firebase/ml/vision/label/FirebaseVisionImageLabel,getConfidence,"('id',)"
com/google/firebase/ml/vision/label/FirebaseVisionImageLabel,getEntityId,"('id',)"
com/google/firebase/ml/vision/common/FirebaseVisionImageMetadata,getHeight,"('Height',)"
com/google/firebase/ml/vision/common/FirebaseVisionImageMetadata,getWidth,"('id',)"
com/google/firebase/ml/vision/common/FirebaseVisionImageMetadata.Builder,setHeight,"('Height',)"
