Lcom/mapbox/mapboxsdk/views/MapView;,isUserLocationVisible,"('Location',)"
Lcom/mapbox/mapboxsdk/views/MapView;,postInvalidate,"('id',)"
Lcom/mapbox/mapboxsdk/views/MapView;,setUseDataConnection,"('Connection',)"
Lcom/mapbox/mapboxsdk/views/MapView;,setUserLocationEnabled,"('Location',)"
Lcom/mapbox/mapboxsdk/views/MapView;,setUserLocationRequiredZoom,"('Location',)"
Lcom/mapbox/mapboxsdk/views/MapView;,setUserLocationTrackingMode,"('Location',)"
Lcom/mapbox/mapboxsdk/views/MapView;,useDataConnection,"('Connection',)"
Lcom/mapbox/mapboxsdk/views/MapViewListener;,onHideMarker,"('id',)"
Lcom/mapbox/mapboxsdk/views/TipView;,getMeasuredHeight,"('Height',)"
Lcom/mapbox/mapboxsdk/views/TipView;,getMeasuredWidth,"('id',)"
Lcom/mapbox/mapboxsdk/views/safecanvas/ISafeCanvas;,getHeight,"('Height',)"
Lcom/mapbox/mapboxsdk/views/safecanvas/ISafeCanvas;,getWidth,"('id',)"
Lcom/mapbox/mapboxsdk/views/safecanvas/SafePaint;,getStrokeWidth,"('id',)"
Lcom/mapbox/mapboxsdk/views/safecanvas/SafeTranslatedCanvas;,getHeight,"('Height',)"
Lcom/mapbox/mapboxsdk/views/safecanvas/SafeTranslatedCanvas;,getWidth,"('id',)"
Lcom/spatialdev/osm/OSMMap;,onHideMarker,"('id',)"
Lcom/spatialdev/osm/renderer/OSMLine;,setStrokeWidth,"('id',)"
Lcom/spatialdev/osm/renderer/OSMPath;,getStrokeWidth,"('id',)"
Lcom/spatialdev/osm/renderer/OSMPath;,setStrokeWidth,"('id',)"
Luk/co/senab/bitmapcache/BitmapLruCache$Builder;,isValidOptionsForDiskCache,"('id',)"
Luk/co/senab/bitmapcache/BitmapLruCache$Builder;,isValidOptionsForMemoryCache,"('id',)"
Luk/co/senab/bitmapcache/BitmapLruCache$Builder;,setDiskCacheLocation,"('Location',)"
Luk/co/senab/bitmapcache/CacheableBitmapDrawable;,getIntrinsicHeight,"('Height',)"
Luk/co/senab/bitmapcache/CacheableBitmapDrawable;,getIntrinsicWidth,"('id',)"
Luk/co/senab/bitmapcache/CacheableBitmapDrawable;,isBitmapValid,"('id',)"
